loc_num,location_type_code,open_date,close_date,price_group,date_forecast,months_predict
00001,RESTAURANT,1986-08-13,null,41,2025-03-25,120
00002,RESTAURANT,1997-07-24,2024-03-31,47,2025-03-25,120
00003,RESTAURANT,1979-03-28,null,41,2025-03-25,120
00004,RESTAURANT,1983-12-16,null,44,2025-03-25,120
00005,RESTAURANT,1976-07-06,2021-05-31,24,2025-03-25,120
00006,RESTAURANT,1982-08-31,null,41,2025-03-25,120
00008,RESTAURANT,1980-08-14,null,68,2025-03-25,120
00009,RESTAURANT,1978-07-18,null,41,2025-03-25,120
00010,RESTAURANT,1974-08-01,null,45,2025-03-25,120
00011,RESTAURANT,1978-07-19,2021-10-15,35,2025-03-25,120
00012,RESTAURANT,1977-06-13,2021-07-31,24,2025-03-25,120
00013,RESTAURANT,1978-08-14,2007-05-31,1,2025-03-25,120
00014,RESTAURANT,1978-10-04,2005-06-28,1,2025-03-25,120
00015,RESTAURANT,1975-03-28,null,41,2025-03-25,120
00016,RESTAURANT,1979-04-02,null,49,2025-03-25,120
00017,RESTAURANT,1981-08-19,null,41,2025-03-25,120
00018,RESTAURANT,1982-08-07,null,45,2025-03-25,120
00019,RESTAURANT,1982-08-05,2005-12-24,3,2025-03-25,120
00020,RESTAURANT,1974-08-06,2021-07-31,27,2025-03-25,120
00021,RESTAURANT,1980-10-13,null,41,2025-03-25,120
00022,RESTAURANT,1979-08-01,2004-12-24,1,2025-03-25,120
00023,RESTAURANT,1976-07-21,1998-04-30,1,2025-03-25,120
00024,RESTAURANT,1976-12-09,2000-12-09,1,2025-03-25,120
00025,RESTAURANT,1975-07-21,2007-01-20,1,2025-03-25,120
00026,RESTAURANT,1978-11-20,null,41,2025-03-25,120
00027,RESTAURANT,1978-03-02,2003-02-22,1,2025-03-25,120
00028,RESTAURANT,1980-03-12,2007-12-29,8,2025-03-25,120
00029,RESTAURANT,1979-10-10,2021-12-31,21,2025-03-25,120
00030,RESTAURANT,1973-09-24,2001-08-17,7,2025-03-25,120
00031,RESTAURANT,1980-03-05,2021-02-13,27,2025-03-25,120
00032,RESTAURANT,1981-07-29,null,44,2025-03-25,120
00033,RESTAURANT,1981-11-04,null,41,2025-03-25,120
00034,RESTAURANT,1980-12-15,2006-01-21,1,2025-03-25,120
00035,RESTAURANT,1982-09-01,null,41,2025-03-25,120
00038,RESTAURANT,1983-10-05,1999-03-13,1,2025-03-25,120
00039,RESTAURANT,1981-11-04,null,46,2025-03-25,120
00040,RESTAURANT,1974-12-06,2007-01-06,1,2025-03-25,120
00041,RESTAURANT,1981-08-06,null,63,2025-03-25,120
00042,RESTAURANT,1983-11-19,null,41,2025-03-25,120
00043,RESTAURANT,1984-04-12,1997-04-12,1,2025-03-25,120
00045,RESTAURANT,1977-08-01,2013-01-26,13,2025-03-25,120
00046,RESTAURANT,1984-10-03,2010-02-20,14,2025-03-25,120
00047,RESTAURANT,1979-03-14,1997-09-30,1,2025-03-25,120
00048,RESTAURANT,1984-07-11,2021-12-31,28,2025-03-25,120
00049,RESTAURANT,1984-07-25,2021-03-27,20,2025-03-25,120
00050,RESTAURANT,1971-08-12,null,45,2025-03-25,120
00051,RESTAURANT,1984-11-15,2015-10-17,16,2025-03-25,120
00052,RESTAURANT,1984-11-08,2000-11-17,1,2025-03-25,120
00053,RESTAURANT,1985-03-20,2002-07-20,7,2025-03-25,120
00054,RESTAURANT,1986-04-16,2013-08-27,13,2025-03-25,120
00055,RESTAURANT,1977-12-16,2003-04-30,1,2025-03-25,120
00056,RESTAURANT,1985-12-11,2015-04-18,13,2025-03-25,120
00057,RESTAURANT,1986-02-26,null,49,2025-03-25,120
00058,RESTAURANT,1985-10-09,2010-12-24,12,2025-03-25,120
00059,RESTAURANT,1981-04-28,2016-04-23,13,2025-03-25,120
00060,RESTAURANT,1972-08-01,null,41,2025-03-25,120
00061,RESTAURANT,1981-03-05,2021-11-30,26,2025-03-25,120
00062,RESTAURANT,1986-03-05,2007-09-22,3,2025-03-25,120
00063,RESTAURANT,1976-10-21,2010-05-08,5,2025-03-25,120
00064,RESTAURANT,1979-08-08,2016-05-21,17,2025-03-25,120
00065,RESTAURANT,1975-02-14,2024-09-30,41,2025-03-25,120
00066,RESTAURANT,1986-03-13,null,46,2025-03-25,120
00067,RESTAURANT,1987-09-09,2001-04-14,1,2025-03-25,120
00068,RESTAURANT,1981-03-25,2022-12-31,40,2025-03-25,120
00069,RESTAURANT,1979-09-08,2022-08-31,131,2025-03-25,120
00070,RESTAURANT,1973-07-24,null,44,2025-03-25,120
00072,RESTAURANT,1987-10-30,2009-08-27,13,2025-03-25,120
